# Compound	Coefficient
Acetic_acid_aq	0.06388095101134687
Adenine	0.0
Adenosine_monophosphate	0.06172692497515501
Ca-DPA_cryst	0.36390373415780775
Citric_acid	0.0
Cytosine_aq	0.03000661063747289
D-Lactic_acid	0.015632812494662564
D-Mannose_aq	0.0
DPA_cryst	0.10814782451796753
Glycine	0.0
Guanine	0.01583902086768977
Hypoxanthine	0.007899797148884962
L-Alanine	0.0
L-Arginine	0.0
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.0
L-Histidine_aq	0.053294158386952534
L-Isoleucine	0.0
L-Leucine	0.0
L-Lysine	0.015982328262077107
L-Methionine_aq	0.03123552890650538
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.0
L-Proline	0.0013397643242381437
L-Serine	0.0
L-Threonine	0.003053717932146272
L-Tryptophan	0.03162763300613777
L-Tyrosine	0.0
L-Valine	0.0
N-Acetylglucosamine_aq	0.05957229777374575
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.025480032220185
Succinic_acid	0.08880253877320578
Thymine	0.03364441677709418
Uracil	0.02133439349422535
Uric_acid	0.010058374482434294
Xanthine	0.04541492481254593
intercept	0.17086145463152122
