# Compound	Coefficient
Acetic_acid_aq	0.03899407619447124
Adenine	0.06885939924010293
Adenosine_monophosphate	0.0
Ca-DPA_cryst	0.023511979393953775
Citric_acid	0.0
Cytosine_aq	0.08058287552144662
D-Lactic_acid	0.03435882440067202
D-Mannose_aq	0.018272733619400527
DPA_cryst	0.11746891384839415
Glycine	0.0
Guanine	0.00807672202472936
Hypoxanthine	0.005127602219236975
L-Alanine	0.0
L-Arginine	0.03293125936278795
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.057428076392702726
L-Histidine_aq	0.014379166927399087
L-Isoleucine	0.0
L-Leucine	0.0
L-Lysine	0.05960237535782278
L-Methionine_aq	0.005554249620099635
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.02663235587879455
L-Proline	0.0
L-Serine	0.0
L-Threonine	0.0
L-Tryptophan	0.0
L-Tyrosine	0.0
L-Valine	0.0
N-Acetylglucosamine_aq	0.028883594341335618
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.0002940223928739725
Succinic_acid	0.024240936425205424
Thymine	0.03586939300047336
Uracil	0.028665820992352924
Uric_acid	0.0038549760228953033
Xanthine	0.043879941131996815
intercept	0.7516099656990397
