# Compound	Coefficient
Acetic_acid_aq	0.03655246450444239
Adenine	0.03282214377485377
Adenosine_monophosphate	0.056019980995429486
Ca-DPA_cryst	0.0
Citric_acid	0.0007910901738424782
Cytosine_aq	0.056487731148498456
D-Lactic_acid	0.05173978444641211
D-Mannose_aq	0.05182888719980476
DPA_cryst	0.125140335252504
Glycine	0.0
Guanine	0.027625519328738926
Hypoxanthine	0.0
L-Alanine	0.0
L-Arginine	0.05865415349637282
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.019683841799982362
L-Histidine_aq	0.0
L-Isoleucine	0.0
L-Leucine	0.0
L-Lysine	0.08748137350874689
L-Methionine_aq	0.029461615059219678
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.07134223764812186
L-Proline	0.0
L-Serine	0.0
L-Threonine	0.0
L-Tryptophan	0.0
L-Tyrosine	0.0
L-Valine	0.0
N-Acetylglucosamine_aq	0.06274707755547225
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.0
Succinic_acid	0.0
Thymine	0.015564222157167691
Uracil	0.024288358745931243
Uric_acid	0.0038553494928335904
Xanthine	0.0
intercept	0.47500015388178535
