# Compound	Coefficient
Acetic_acid_aq	0.00467321579865712
Adenine	0.0
Adenosine_monophosphate	0.05393575022831867
Ca-DPA_cryst	0.0
Citric_acid	0.1190526514164674
Cytosine_aq	0.0
D-Lactic_acid	0.0228868937179613
D-Mannose_aq	0.1685879238290986
DPA_cryst	0.06959545195133483
Glycine	0.0
Guanine	0.0
Hypoxanthine	0.0
L-Alanine	0.0
L-Arginine	0.14757622339628165
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.0
L-Histidine_aq	0.0
L-Isoleucine	0.0
L-Leucine	0.0
L-Lysine	0.009148805035043036
L-Methionine_aq	0.04623257674155653
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.1286061313524245
L-Proline	0.0
L-Serine	0.0
L-Threonine	0.0
L-Tryptophan	0.0
L-Tyrosine	0.0
L-Valine	0.0
N-Acetylglucosamine_aq	0.05150193487018361
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.0
Succinic_acid	0.0
Thymine	0.019055252158406037
Uracil	0.025967485689896368
Uric_acid	0.015029895686705305
Xanthine	0.0
intercept	0.0
