# Compound	Coefficient
Acetic_acid_aq	0.0
Adenine	0.013578831661435498
Adenosine_monophosphate	0.07238507331941545
Ca-DPA_cryst	0.0
Citric_acid	0.03556873660745906
Cytosine_aq	0.06048240292998945
D-Lactic_acid	0.03318561479554397
D-Mannose_aq	0.11928638615813743
DPA_cryst	0.07715507873720953
Glycine	0.0
Guanine	0.029923823298556255
Hypoxanthine	0.0
L-Alanine	0.0
L-Arginine	0.07734709290824238
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.0
L-Histidine_aq	0.0
L-Isoleucine	0.0
L-Leucine	0.0
L-Lysine	0.06605911690242369
L-Methionine_aq	0.0
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.13092781239211973
L-Proline	0.00862326381851825
L-Serine	0.0
L-Threonine	0.0
L-Tryptophan	0.0
L-Tyrosine	0.0
L-Valine	0.0
N-Acetylglucosamine_aq	0.055798816953790596
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.0
Succinic_acid	0.0
Thymine	0.0
Uracil	0.0
Uric_acid	0.03890833845075345
Xanthine	0.0
intercept	0.5461435515202929
