# Compound	Coefficient
Acetic_acid_aq	0.0
Adenine	0.0
Adenosine_monophosphate	0.0
Ca-DPA_cryst	0.2534800759024217
Citric_acid	0.0
Cytosine_aq	0.024767536363484523
D-Lactic_acid	0.0
D-Mannose_aq	0.0
DPA_cryst	0.2145794804334653
Glycine	0.044629592947233725
Guanine	0.03282157979693717
Hypoxanthine	0.0
L-Alanine	0.0
L-Arginine	0.0
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.0
L-Histidine_aq	0.10711744159897395
L-Isoleucine	0.0
L-Leucine	0.01888371934503883
L-Lysine	0.0
L-Methionine_aq	0.030411702167952283
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.0
L-Proline	0.0
L-Serine	0.0
L-Threonine	0.0
L-Tryptophan	0.1355164833431188
L-Tyrosine	0.008330894237363511
L-Valine	0.0
N-Acetylglucosamine_aq	0.019409264096483914
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.11752522015669598
Succinic_acid	0.0
Thymine	0.0
Uracil	0.0
Uric_acid	0.0
Xanthine	0.049817555606112465
intercept	0.0
