# Compound	Coefficient
Acetic_acid_aq	0.011919959717476553
Adenine	0.0047451250808521195
Adenosine_monophosphate	0.07724505798349626
Ca-DPA_cryst	0.0
Citric_acid	0.07227409364523234
Cytosine_aq	0.003521533645323661
D-Lactic_acid	0.05725108440130399
D-Mannose_aq	0.11484142108056469
DPA_cryst	0.1224497034194225
Glycine	0.0
Guanine	0.022600574851200185
Hypoxanthine	0.0
L-Alanine	0.0
L-Arginine	0.109717716245385
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.0
L-Histidine_aq	0.0
L-Isoleucine	0.0
L-Leucine	0.0
L-Lysine	0.0740151726687899
L-Methionine_aq	0.050546928107195764
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.08815964321186627
L-Proline	0.0
L-Serine	0.0
L-Threonine	0.0
L-Tryptophan	0.0
L-Tyrosine	0.0
L-Valine	0.0
N-Acetylglucosamine_aq	0.07820762437187591
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.0
Succinic_acid	0.0
Thymine	0.015151273700575885
Uracil	0.056755615121509555
Uric_acid	0.016772064252720535
Xanthine	0.0
intercept	0.039588377868515774
