# Compound	Coefficient
Acetic_acid_aq	0.10073858067136879
Adenine	0.005378404377445595
Adenosine_monophosphate	0.05662070288306702
Ca-DPA_cryst	0.2855304083028399
Citric_acid	0.0
Cytosine_aq	0.060358781493167236
D-Lactic_acid	0.001382690407771919
D-Mannose_aq	0.0
DPA_cryst	0.14601797956015783
Glycine	0.0
Guanine	0.031278063108730526
Hypoxanthine	0.024400604545641462
L-Alanine	0.0
L-Arginine	0.0
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.0
L-Histidine_aq	0.0670816645231106
L-Isoleucine	0.002311724768779826
L-Leucine	0.001055742661879222
L-Lysine	0.02742768700714498
L-Methionine_aq	0.026408512787472888
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.011294200738608868
L-Proline	0.0
L-Serine	0.0
L-Threonine	0.01847136201464332
L-Tryptophan	0.01939963922658613
L-Tyrosine	0.028405463289214117
L-Valine	0.0
N-Acetylglucosamine_aq	0.0540936719551228
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.0357871485159074
Succinic_acid	0.10128368701959431
Thymine	0.026029784167034352
Uracil	0.019201852363214835
Uric_acid	0.0
Xanthine	0.05623935050548233
intercept	0.0
