# Compound	Coefficient
Acetic_acid_aq	0.07731636096352748
Adenine	0.03802313749219501
Adenosine_monophosphate	0.06535592025519059
Ca-DPA_cryst	0.2784740593513054
Citric_acid	0.0
Cytosine_aq	0.089067378986874
D-Lactic_acid	0.0
D-Mannose_aq	0.0
DPA_cryst	0.13816102809129627
Glycine	0.0
Guanine	0.06235844986801886
Hypoxanthine	0.0
L-Alanine	0.0
L-Arginine	0.0
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.0
L-Histidine_aq	0.06301609678424813
L-Isoleucine	0.004215962739287841
L-Leucine	0.0
L-Lysine	0.028252313282021078
L-Methionine_aq	0.04527383465961614
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.023730231982611247
L-Proline	0.0
L-Serine	0.0
L-Threonine	0.010739684160319958
L-Tryptophan	0.032040969116584814
L-Tyrosine	0.052376283895750095
L-Valine	0.0
N-Acetylglucosamine_aq	0.04993623453532568
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.013319404447553324
Succinic_acid	0.07975407836463964
Thymine	0.013705582781463565
Uracil	0.0
Uric_acid	0.004356779247746474
Xanthine	0.028363607143505956
intercept	0.0
