# Compound	Coefficient
Acetic_acid_aq	0.004756356049556808
Adenine	0.009399095508496127
Adenosine_monophosphate	0.0547025197118241
Ca-DPA_cryst	0.0
Citric_acid	0.07854917527302813
Cytosine_aq	0.0062761055128941695
D-Lactic_acid	0.017224964489666924
D-Mannose_aq	0.1363364030186374
DPA_cryst	0.11521529721056878
Glycine	0.0
Guanine	0.0
Hypoxanthine	0.0
L-Alanine	0.0
L-Arginine	0.0942625848302085
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.0
L-Histidine_aq	0.0
L-Isoleucine	0.0
L-Leucine	0.0
L-Lysine	0.01907542348994217
L-Methionine_aq	0.02947152289426302
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.009315731471783996
L-Proline	0.0
L-Serine	0.0
L-Threonine	0.0
L-Tryptophan	0.0
L-Tyrosine	0.0
L-Valine	0.0
N-Acetylglucosamine_aq	0.0577080477018143
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.0
Succinic_acid	0.0
Thymine	0.002266215803202725
Uracil	0.029533227590083245
Uric_acid	0.019593227777124606
Xanthine	0.0
intercept	0.6101578688272727
