# Compound	Coefficient
Acetic_acid_aq	0.010858783145241543
Adenine	0.08321848038036508
Adenosine_monophosphate	0.017659470493174328
Ca-DPA_cryst	0.0
Citric_acid	0.0024841707159399262
Cytosine_aq	0.10022065061048668
D-Lactic_acid	0.05330828834329155
D-Mannose_aq	0.06706454017928667
DPA_cryst	0.11176861957292195
Glycine	0.0
Guanine	0.04218302319819206
Hypoxanthine	0.0
L-Alanine	0.0
L-Arginine	0.03790556430068995
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.07039335178436924
L-Histidine_aq	0.0
L-Isoleucine	0.0
L-Leucine	0.0
L-Lysine	0.0772431883308287
L-Methionine_aq	0.0
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.09181001659108161
L-Proline	0.0
L-Serine	0.0
L-Threonine	0.0
L-Tryptophan	0.0
L-Tyrosine	0.0
L-Valine	0.0
N-Acetylglucosamine_aq	0.04027752278739618
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.0
Succinic_acid	0.004835731045008706
Thymine	0.04012785475878047
Uracil	0.05857711539704763
Uric_acid	0.0024174122844607304
Xanthine	0.011124829393354178
intercept	0.44501188079905885
