# Compound	Coefficient
Acetic_acid_aq	0.09175536101531641
Adenine	0.024995352338645832
Adenosine_monophosphate	0.08542272243188319
Ca-DPA_cryst	0.2940026897273796
Citric_acid	0.0
Cytosine_aq	0.09501188702600126
D-Lactic_acid	0.0
D-Mannose_aq	0.0
DPA_cryst	0.1603133270151632
Glycine	0.0
Guanine	0.05620662540451974
Hypoxanthine	0.0
L-Alanine	0.0
L-Arginine	0.0
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.0
L-Histidine_aq	0.07338788662250907
L-Isoleucine	0.0031639793915589046
L-Leucine	0.009823401463419083
L-Lysine	0.015015624435481533
L-Methionine_aq	0.04403104097045024
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.0
L-Proline	0.0
L-Serine	0.0
L-Threonine	0.008301326341925642
L-Tryptophan	0.04967987194037002
L-Tyrosine	0.038625721732544666
L-Valine	0.0
N-Acetylglucosamine_aq	0.045155037235890226
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.037717918112751256
Succinic_acid	0.054828642253215154
Thymine	0.005375894201798399
Uracil	0.0
Uric_acid	0.003820936584674217
Xanthine	0.028362165717100252
intercept	0.0
