# Compound	Coefficient
Acetic_acid_aq	0.0
Adenine	0.008111845093868414
Adenosine_monophosphate	0.05304161331328598
Ca-DPA_cryst	0.0
Citric_acid	0.10260095107117033
Cytosine_aq	0.006479344607282467
D-Lactic_acid	0.02197139204329922
D-Mannose_aq	0.178233827484907
DPA_cryst	0.11708915436453882
Glycine	0.0
Guanine	0.0
Hypoxanthine	0.0
L-Alanine	0.0
L-Arginine	0.13908488421738893
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.0
L-Histidine_aq	0.0
L-Isoleucine	0.0
L-Leucine	0.0
L-Lysine	0.04962074051135477
L-Methionine_aq	0.052043270294790535
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.06788315196047336
L-Proline	0.0
L-Serine	0.0
L-Threonine	0.0
L-Tryptophan	0.0
L-Tyrosine	0.0
L-Valine	0.0
N-Acetylglucosamine_aq	0.0752821157356975
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.0
Succinic_acid	0.0
Thymine	0.010748494418359546
Uracil	0.04146027993969763
Uric_acid	0.028198818311669517
Xanthine	0.0
intercept	0.0
