# Compound	Coefficient
Acetic_acid_aq	0.08020832562572043
Adenine	0.0
Adenosine_monophosphate	0.022318423840702966
Ca-DPA_cryst	0.25242806427003933
Citric_acid	0.0
Cytosine_aq	0.04691782739154508
D-Lactic_acid	0.024234518080101315
D-Mannose_aq	0.010797231552945966
DPA_cryst	0.05065801762703925
Glycine	0.0
Guanine	0.005380520491279944
Hypoxanthine	0.024994591112725072
L-Alanine	0.0
L-Arginine	0.0
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.0
L-Histidine_aq	0.04626416033185157
L-Isoleucine	0.0
L-Leucine	0.0
L-Lysine	0.028518882193872677
L-Methionine_aq	0.013954388021425734
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.09246263736085267
L-Proline	0.007082042414413174
L-Serine	0.0
L-Threonine	0.0070431686292263705
L-Tryptophan	0.0
L-Tyrosine	0.005785571497317368
L-Valine	0.0
N-Acetylglucosamine_aq	0.03802286134099809
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.004560221591815536
Succinic_acid	0.08956333538193204
Thymine	0.05146597376213261
Uracil	0.030456742185230114
Uric_acid	0.0014751279579427626
Xanthine	0.06701631423691268
intercept	0.35486496169596266
