# Compound	Coefficient
Acetic_acid_aq	0.03805493795370145
Adenine	0.046164588133314075
Adenosine_monophosphate	0.0
Ca-DPA_cryst	0.012230792816681995
Citric_acid	0.0
Cytosine_aq	0.0487489445296481
D-Lactic_acid	0.03013385387799853
D-Mannose_aq	0.023741282293117835
DPA_cryst	0.08707296765243168
Glycine	0.0
Guanine	0.0070304854566452185
Hypoxanthine	0.01648683334206673
L-Alanine	0.0
L-Arginine	0.02620113742443883
L-Asparagine	0.0
L-Aspartic_acid	0.0
L-Cysteine_aq	0.0
L-Glutamic_acid	0.0
L-Glutamine	0.0
L-Histidine	0.033242063791965225
L-Histidine_aq	0.0
L-Isoleucine	0.0
L-Leucine	0.0
L-Lysine	0.07555889221409336
L-Methionine_aq	0.019348513130935243
L-Phenylalanine	0.0
L-Phenylalanine_aq	0.09536201850902888
L-Proline	0.0
L-Serine	0.0
L-Threonine	0.0
L-Tryptophan	0.0
L-Tyrosine	0.0
L-Valine	0.0
N-Acetylglucosamine_aq	0.028534569691229694
N-Acetylmuramic_acid	0.0
Peptidoglycan	0.013690373523365166
Succinic_acid	0.012556460070234103
Thymine	0.02532948387355203
Uracil	0.025215137048201306
Uric_acid	0.003405508888619297
Xanthine	0.03970592481793547
intercept	0.7168507229029424
